id,order,content,recipeId
1,1,Boil water and cook spaghetti according to package instructions.,1
2,2,Heat olive oil in a pan and sautÃƒÂ© chopped onions and garlic.,1
3,3,Add minced beef and cook until browned.,1
4,4,"Pour in tomato sauce, add salt, and let it simmer for 15 minutes.",1
5,5,Drain the spaghetti and mix it with the sauce.,1
6,6,Serve hot and enjoy!,1
7,1,"Boil pork belly with garlic, soy sauce, and salt for 1 hour.",2
8,2,Let it rest and slice thinly.,2
9,3,"Serve with lettuce, kimchi, and dipping sauce.",2
10,1,Season pork chops with salt and pepper.,3
11,2,"Dip in flour, egg, and panko breadcrumbs.",3
12,3,Deep-fry in hot oil until golden brown.,3
13,4,Serve with tonkatsu sauce.,3
14,1,Cook ground beef with onions and taco seasoning.,4
15,2,Warm tortillas on a dry pan.,4
16,3,"Assemble tacos with lettuce, tomato, beef, and cheese.",4
17,4,Serve with salsa.,4
18,1,Lay seaweed on a bamboo mat.,5
19,2,Spread cooked rice evenly over the seaweed.,5
20,3,"Arrange carrot, cucumber, egg, and crab sticks.",5
21,4,Roll tightly and slice into pieces.,5
22,1,"Mix ground pork, cabbage, garlic, soy sauce, and sesame oil.",6
23,2,Place a spoonful of filling onto dumpling wrappers.,6
24,3,Fold and seal the edges.,6
25,4,"Pan-fry until golden brown, then steam for 3 minutes.",6
26,1,Crush graham crackers and mix with melted butter.,7
27,2,Press the mixture into a baking pan.,7
28,3,"Mix cream cheese, sugar, eggs, and vanilla until smooth.",7
29,4,Pour over the crust and bake at 160Ã‚Â°C for 45 minutes.,7
30,5,Let it cool and refrigerate before serving.,7
31,1,Boil noodles and drain them.,8
32,2,"Stir-fry garlic, chicken, and vegetables in a pan.",8
33,3,Add noodles and soy sauce.,8
34,4,Mix well and serve hot.,8
35,1,Slice Cuban bread and spread mustard.,9
36,2,"Layer roast pork, ham, Swiss cheese, and pickles.",9
37,3,Grill until golden and crispy.,9
38,4,Serve warm.,9
39,1,Roll out pastry dough and cut into tart molds.,10
40,2,"Mix egg yolks, sugar, milk, and vanilla.",10
41,3,Pour mixture into tart shells.,10
42,4,Bake at 180Ã‚Â°C for 15 minutes.,10
43,1,Cook rice and set aside.,11
44,2,SautÃƒÂ© vegetables separately.,11
45,3,Fry an egg.,11
46,4,"Assemble rice, vegetables, and egg.",11
47,5,Top with gochujang and mix before eating.,11
48,1,Melt chocolate and butter together.,12
49,2,"Whisk in sugar, eggs, and flour.",12
50,3,Pour into a baking tray and bake at 180Ã‚Â°C for 20 minutes.,12
51,1,"Whisk mascarpone, egg yolks, and sugar.",13
52,2,Dip ladyfingers in espresso and layer in a dish.,13
53,3,Spread mascarpone mixture and repeat layers.,13
54,4,Dust with cocoa powder and chill before serving.,13
55,1,"Heat cream, sugar, and vanilla extract.",14
56,2,Dissolve gelatin and mix with cream.,14
57,3,Pour into molds and refrigerate for 4 hours.,14
58,4,Serve with strawberry sauce.,14
59,1,"Boil potatoes until soft, then mash with butter and milk.",15
60,2,"Cook ground beef with onions, garlic, and carrots.",15
61,3,Place meat mixture in a baking dish and top with mashed potatoes.,15
62,4,Bake at 200Ã‚Â°C for 20 minutes until golden.,15
63,1,"SautÃƒÂ© onions, garlic, and spices in olive oil.",16
64,2,Add chopped tomatoes and simmer until thick.,16
65,3,Make small wells in the sauce and crack in the eggs.,16
66,4,Cover and cook until eggs are set.,16
67,1,"SautÃƒÂ© sausage, chicken, onions, and bell peppers.",17
68,2,"Add tomatoes, rice, and Cajun seasoning.",17
69,3,Pour in broth and simmer until rice is cooked.,17
70,4,Stir in shrimp and cook until pink.,17
71,1,Soak rice noodles in warm water for 30 minutes.,18
72,2,Heat oil in a pan and sautÃƒÂ© garlic.,18
73,3,"Add shrimp and tofu, then stir-fry for a few minutes.",18
74,4,Push ingredients to the side and scramble an egg in the pan.,18
75,5,Drain noodles and add to the pan with sauce ingredients.,18
76,6,Toss everything together and garnish with peanuts and lime.,18
77,1,"Marinate chicken in yogurt, spices, and lemon juice for 2 hours.",19
78,2,Cook the chicken in a pan until slightly charred.,19
79,3,"In another pan, cook onions, garlic, ginger, and tomatoes.",19
80,4,Blend the cooked mixture into a smooth sauce.,19
81,5,"Return the sauce to the pan, add cream and butter.",19
82,6,Add cooked chicken to the sauce and simmer until tender.,19
83,1,"Cook sushi rice and season it with vinegar, sugar, and salt.",20
84,2,Lay a sheet of nori on a bamboo mat.,20
85,3,"Spread rice evenly over the nori, leaving space at the edges.",20
86,4,"Place sliced fish, avocado, and cucumber on top.",20
87,5,Roll tightly using the bamboo mat.,20
88,6,Slice into bite-sized pieces and serve with soy sauce.,20
89,1,"Boil broth with soy sauce, miso, and seasonings.",21
90,2,Cook ramen noodles in boiling water.,21
91,3,"Add sliced pork, egg, and vegetables to the broth.",21
92,4,Pour hot broth over noodles and serve.,21
93,1,Cook ground beef with tomato sauce.,22
94,2,"Layer lasagna sheets, meat sauce, and cheese.",22
95,3,Repeat layers and bake until golden brown.,22
96,1,"SautÃƒÂ© onions, garlic, and tomatoes in a pan.",23
97,2,Add rice and saffron-infused broth.,23
98,3,"Place seafood and chicken on top, then simmer.",23
99,1,"Blend chickpeas, onions, garlic, and herbs.",24
100,2,Shape mixture into balls and deep-fry.,24
101,3,Serve in pita with tahini sauce.,24
102,1,Simmer beef bones with spices for hours to make broth.,25
103,2,Cook rice noodles separately.,25
104,3,Serve noodles in broth with beef slices and herbs.,25
105,1,Cook marinated meat with spices and yogurt.,26
106,2,"Layer rice and meat in a pot, then cover and steam.",26
107,1,Cook ground meat with tomatoes and spices.,27
108,2,Layer eggplant slices with meat sauce and bÃƒÂ©chamel.,27
109,3,Bake until golden brown.,27
110,1,Fry potatoes until crispy.,28
111,2,Top with cheese curds and hot gravy.,28
112,1,SautÃƒÂ© onions and garlic in oil.,29
113,2,"Add beef, paprika, and broth, then simmer for hours.",29
114,1,"Mix flour, butter, and water to make dough.",30
115,2,Pipe dough into hot oil and fry until golden.,30
116,3,Coat in cinnamon sugar and serve with chocolate sauce.,30
117,1,Boil noodles until al dente.,31
118,2,Heat oil and fry Szechuan peppercorns.,31
119,3,Mix sauce ingredients and toss with noodles.,31
120,4,Garnish with scallions and peanuts.,31
121,1,Preheat oven to 400Ã‚Â°F (200Ã‚Â°C).,32
122,2,Season chicken wings with salt and pepper.,32
123,3,"Bake for 40-45 minutes, turning halfway.",32
124,4,"Mix hot sauce, melted butter, and vinegar.",32
125,5,Toss baked wings in sauce and serve.,32
126,1,SautÃƒÂ© pork in a pot until browned.,33
127,2,Add kimchi and stir-fry for 2 minutes.,33
128,3,Pour in water and bring to a boil.,33
129,4,"Add tofu, gochujang, and seasonings.",33
130,5,Simmer for 15 minutes and serve hot.,33
131,1,Cut jalapeÃƒÂ±os in half and remove seeds.,34
132,2,Fill each half with cream cheese.,34
133,3,"Coat in flour, egg, and breadcrumbs.",34
134,4,Deep-fry until golden brown and crispy.,34
135,5,Serve hot with dipping sauce.,34
136,1,Heat oil and sautÃƒÂ© onions and garlic.,35
137,2,Add chicken and cook until browned.,35
138,3,"Stir in vinegar, spices, and tomatoes.",35
139,4,Simmer for 30 minutes until thickened.,35
140,5,Garnish with cilantro and serve with rice.,35
141,1,Slice fresh mozzarella and tomatoes.,36
142,2,Arrange them alternately on a plate.,36
143,3,Drizzle olive oil and balsamic vinegar.,36
144,4,Season with salt and pepper.,36
145,5,Garnish with fresh basil leaves.,36
146,1,Heat water and dissolve miso paste.,37
147,2,Add dashi stock and bring to a simmer.,37
148,3,Stir in tofu cubes and seaweed.,37
149,4,Cook for 5 minutes and remove from heat.,37
150,5,Serve hot with scallions as garnish.,37
151,1,Cook pasta according to package instructions.,38
